Confirmed,Deaths,Recovered
1,0,0
14,0,0
6,0,0
1,0,0
0,0,0
26,0,0
2,0,0
1,0,0
4,0,0
1,0,0
0,0,0
5,0,0
0,0,0
444,17,28
4,0,0
0,0,0
1,0,0
2,0,0
0,0,0
2,0,0
1,0,0
1,0,0
0,0,0
0,0,0
2,0,0
9,0,0
1,0,0
5,0,0
1,0,0
4,0,0
0,0,0
1,0,0
0,0,0
1,0,0
10,0,0
2,0,0
2,0,0
1,0,0
9,0,0
22,0,0
9,0,0
5,0,0
2,0,0
32,0,2
5,0,0
3,0,0
5,0,0
1,1,0
2,0,0
5,0,0
2,0,0
444,17,28
9,0,0
0,0,0
5,0,0
7,0,0
1,0,0
3,0,0
2,0,0
1,0,0
0,0,0
3,0,0
6,0,0
16,0,0
1,0,0
8,0,0
1,0,0
4,0,0
0,0,0
1,0,0
2,0,0
2,0,0
27,0,0
1,0,0
3,0,0
1,0,0
1,0,0
0,0,0
0,0,0
2,0,0
0,0,0
0,0,0
0,0,0
0,0,0
549,24,31
53,0,2
43,0,1
36,0,1
27,0,0
24,0,0
23,0,0
20,0,1
18,0,0
15,0,0
15,0,0
15,0,0
10,0,0
9,0,0
9,0,0
8,0,0
8,0,0
5,0,0
5,0,0
4,1,0
4,0,0
3,0,0
3,0,0
3,0,0
2,0,0
2,0,0
2,0,0
2,1,0
2,0,0
2,0,0
1,0,0
1,0,0
0,0,0
1,0,0
1,0,0
2,0,0
5,0,0
2,0,0
3,0,0
2,0,0
2,0,0
761,40,32
78,0,2
62,0,1
57,0,0
43,0,0
41,0,2
39,0,0
33,0,1
32,0,0
28,0,0
27,0,0
23,0,0
19,0,0
18,0,0
18,0,0
18,0,1
17,0,0
15,0,0
11,0,0
10,0,0
9,1,0
8,1,0
7,0,0
6,0,0
5,0,0
4,0,0
4,0,0
4,0,0
3,0,0
3,0,0
3,0,0
2,0,0
1,0,0
1,0,0
1,0,0
2,0,0
7,0,0
2,0,0
3,0,0
2,0,0
3,0,0
4,0,0
1,0,0
3,0,0
1058,52,42
111,0,2
104,0,1
83,1,0
75,0,0
69,0,0
68,0,2
60,0,0
46,0,0
44,0,0
40,1,1
36,0,0
36,0,0
35,0,0
33,0,1
22,0,0
22,0,0
21,0,0
16,0,0
15,1,0
14,0,0
13,1,0
9,0,0
8,0,0
7,0,0
7,0,0
5,0,0
5,0,0
4,0,0
4,0,0
4,0,0
4,0,0
1,0,0
1,0,0
1,0,0
2,0,0
1,0,0
4,0,1
8,0,2
3,0,0
4,0,0
2,0,0
3,0,0
4,0,0
1,0,0
4,0,0
1,0,0
1423,76,45
151,0,4
128,0,1
128,1,0
110,0,0
100,0,0
80,1,2
75,0,0
72,0,2
70,0,0
69,0,0
59,0,0
53,1,3
47,0,1
46,0,0
35,0,0
33,1,0
27,0,0
26,0,0
23,0,0
21,1,0
18,1,0
14,0,0
13,0,0
11,0,0
8,0,0
7,0,0
7,0,0
6,0,0
6,0,0
6,0,0
5,0,0
5,0,0
1,0,0
1,0,0
2,0,0
1,0,0
4,0,1
8,0,2
4,0,0
5,0,0
2,0,0
3,0,0
1,0,0
4,0,0
1,0,0
1,0,0
1,0,0
1,0,0
4,0,0
1,0,0
3554,125,80
207,0,4
173,0,3
168,1,0
143,0,0
132,0,0
109,0,3
106,0,0
95,0,0
91,1,4
90,0,0
80,0,0
70,0,1
66,1,4
51,0,2
46,0,0
44,0,0
40,1,0
34,0,0
33,1,0
33,1,0
27,0,0
24,0,0
19,0,0
15,0,0
11,0,0
10,0,0
9,0,0
8,0,0
8,0,0
8,0,0
7,0,0
6,0,0
1,0,0
1,0,0
2,0,0
1,0,0
7,0,1
14,0,5
4,0,0
7,0,0
2,0,0
4,0,0
1,0,0
4,0,0
1,0,0
1,0,0
1,0,0
1,0,0
4,0,0
1,0,0
4,0,0
3554,125,88
296,0,3
277,0,5
221,0,0
206,2,1
152,0,2
147,0,1
130,0,1
111,1,4
109,0,3
108,1,1
99,0,1
96,1,5
84,0,0
58,0,2
56,0,0
55,0,0
48,1,0
43,1,0
39,0,1
38,1,0
27,0,0
27,0,1
24,0,0
16,0,0
13,0,0
12,0,0
10,0,0
9,0,1
9,0,0
8,0,0
7,0,0
6,0,0
1,0,0
1,0,0
2,0,0
1,0,0
7,0,1
14,0,5
4,0,0
7,0,0
2,0,0
5,0,0
1,0,0
7,0,0
1,0,0
1,0,0
1,0,0
1,0,0
4,0,0
1,0,0
4,0,0
1,0,0
4,0,0
4903,162,90
428,0,4
354,0,10
278,2,2
277,0,2
200,0,2
182,0,1
162,0,5
158,0,1
142,1,1
129,0,1
114,1,4
112,1,5
101,0,0
78,0,2
70,0,0
65,1,0
63,0,0
46,1,1
44,2,0
41,0,1
35,0,1
31,0,0
26,0,0
19,0,0
17,0,0
14,0,1
14,0,0
12,0,1
10,0,0
9,0,0
8,0,0
7,0,0
1,0,0
1,0,0
1,0,0
2,0,0
1,0,0
11,0,1
14,0,5
4,0,0
10,0,0
2,0,0
5,0,0
1,0,0
8,0,0
2,0,0
1,0,0
1,0,0
1,0,0
4,0,2
2,0,0
3,0,0
4,0,0
1,0,0
4,0,0
1,0,0
1,0,0
5806,204,141
538,0,14
436,0,11
352,2,3
332,0,2
240,0,7
237,0,3
211,0,1
184,0,2
177,1,1
168,0,5
139,1,5
135,1,9
120,0,0
87,0,2
87,0,0
83,0,1
82,1,0
59,2,0
52,1,1
48,0,1
39,0,1
32,0,0
29,0,2
29,0,0
21,0,0
20,0,1
17,0,0
14,0,1
12,0,0
10,0,0
8,0,0
7,0,0
1,0,0
19,0,5
15,0,1
13,0,0
11,0,0
8,0,0
5,0,0
5,0,0
4,0,2
4,0,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
7153,249,168
599,0,21
535,0,14
422,2,3
389,0,8
297,0,5
286,0,9
247,1,3
207,1,3
206,0,3
202,0,6
169,1,10
168,1,9
144,0,0
101,0,0
100,0,2
96,1,0
93,0,2
80,2,2
64,0,1
62,1,1
47,0,1
41,0,0
40,0,0
29,0,2
26,0,0
23,0,1
20,0,1
19,0,5
18,0,0
17,0,1
16,0,0
13,0,0
12,0,0
10,0,0
9,0,0
8,0,0
8,0,0
7,0,0
6,0,0
6,0,1
4,0,2
4,0,0
4,0,0
3,0,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
11177,350,295
661,0,32
632,0,15
493,2,10
463,0,16
340,0,7
333,0,12
300,2,7
236,0,7
231,1,11
230,0,6
191,1,9
182,1,10
159,0,0
116,0,0
111,0,2
105,0,3
104,1,3
95,2,2
70,0,1
66,0,3
64,1,4
51,0,3
48,0,1
38,0,2
28,0,0
27,0,1
23,0,1
21,0,0
20,0,1
19,0,5
18,0,0
15,0,0
15,0,0
11,0,0
10,0,0
10,0,0
8,0,0
8,0,0
6,0,0
6,0,1
5,0,0
4,0,2
4,0,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,1,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
13522,414,386
725,0,21
724,0,43
566,2,16
521,0,22
408,0,14
391,0,18
337,2,9
271,0,8
259,0,7
254,1,14
212,1,12
203,1,10
179,0,1
128,0,0
127,0,7
121,2,2
117,0,5
113,1,3
74,0,1
74,0,2
72,1,4
60,0,1
55,0,3
46,0,2
34,0,1
31,0,1
31,0,1
24,0,0
20,0,1
19,0,5
18,0,0
15,0,0
15,0,0
13,0,0
12,0,0
10,0,0
8,0,0
8,0,0
8,0,1
6,0,0
5,0,0
4,0,2
4,0,0
3,0,0
3,0,0
2,0,0
2,0,0
2,0,0
2,1,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
16678,479,522
829,0,62
813,0,30
675,2,27
593,0,31
480,0,20
476,0,20
366,2,9
308,0,12
282,1,14
275,0,11
228,1,23
219,1,12
194,0,3
155,2,4
142,0,2
139,0,10
126,1,4
122,0,5
81,0,2
81,0,4
80,1,5
67,0,2
58,0,2
57,0,4
42,0,1
35,0,1
34,0,1
29,0,0
25,0,5
24,0,0
22,0,1
17,1,0
16,0,0
15,0,0
12,0,0
11,0,0
10,0,0
10,0,0
8,0,1
6,0,0
5,0,0
4,0,2
4,0,0
3,0,0
3,0,0
2,0,0
2,0,0
2,0,0
2,1,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
19665,549,633
895,0,49
895,0,78
764,2,47
661,0,54
548,0,27
530,0,23
389,2,15
341,0,23
307,0,15
301,1,24
253,1,24
243,1,15
205,0,11
190,2,7
165,0,6
150,0,13
135,1,6
128,0,5
99,1,5
89,0,4
81,0,5
69,1,2
64,1,9
62,0,6
54,0,2
42,0,3
34,0,1
32,0,0
28,0,0
25,0,5
22,0,1
21,1,0
19,0,0
17,0,3
12,0,0
12,0,0
11,0,0
10,0,0
8,0,1
6,0,0
5,0,0
4,0,2
4,0,0
3,0,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,1,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
22112,618,817
970,0,69
954,0,94
851,2,56
711,0,81
600,0,37
591,0,34
411,2,24
373,0,34
347,0,27
321,1,31
274,1,31
257,1,25
227,3,8
215,0,14
173,0,9
168,0,14
157,1,13
133,0,7
106,1,8
96,0,12
94,0,5
79,1,2
71,1,6
62,0,6
59,0,4
46,0,4
45,0,1
40,0,1
36,0,0
28,0,0
25,0,5
24,1,0
23,0,0
18,0,3
16,0,1
12,0,0
12,0,0
10,0,1
10,0,1
6,0,0
5,0,0
4,0,2
4,0,0
4,0,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,1,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
24953,699,1115
1034,1,88
1006,0,123
914,3,86
772,0,112
665,0,47
661,0,45
426,2,31
408,0,43
386,0,37
344,1,42
297,1,33
277,3,12
277,1,30
224,0,20
184,0,17
172,0,17
172,1,22
138,0,12
117,2,10
104,0,15
99,0,7
81,1,6
81,1,2
67,0,9
65,1,4
61,0,0
50,0,5
43,0,5
39,0,0
30,0,0
25,1,0
25,0,1
25,0,5
24,0,1
18,0,3
16,0,1
13,0,0
12,0,1
10,0,1
10,0,1
6,0,0
5,0,0
5,0,0
4,0,2
4,0,0
4,0,0
3,0,0
3,0,0
3,1,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
27100,780,1439
1095,1,112
1048,0,175
981,4,116
803,1,156
733,0,59
698,0,55
439,0,51
428,2,39
416,0,44
364,1,60
315,2,34
295,5,13
286,1,41
239,0,24
195,1,30
195,0,20
183,0,17
138,0,17
124,2,14
115,0,21
105,0,8
89,1,7
88,1,4
79,1,12
69,1,4
61,0,0
52,0,5
45,0,15
42,0,0
33,0,2
32,0,10
26,1,0
25,0,1
24,0,1
18,0,3
17,0,1
16,0,1
13,0,0
13,0,1
11,0,0
10,0,1
7,0,0
5,0,0
4,0,2
4,0,0
4,0,0
3,0,0
3,0,0
3,1,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
29631,871,1795
1131,1,141
1075,0,201
1033,6,153
838,1,186
779,1,72
740,0,73
468,2,51
468,0,71
444,1,63
386,1,71
326,2,37
307,6,14
293,1,44
250,0,35
208,0,25
206,2,34
195,1,18
141,0,18
131,3,19
119,0,25
107,0,12
99,1,7
91,1,4
83,2,16
78,1,12
64,0,0
54,0,5
45,0,13
45,0,0
40,0,2
32,0,10
29,1,0
26,0,1
25,0,3
18,0,3
18,0,1
16,0,1
14,0,0
13,0,1
11,0,0
10,0,1
7,0,0
5,0,0
4,0,2
4,0,0
4,0,0
3,0,0
3,0,0
3,1,0
3,0,0
2,0,0
2,0,0
2,0,0
2,0,0
2,0,2
2,0,0
2,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
1,0,0
1,0,0
1,0,0
1,0,0
1,0,1
1,0,0
31728,974,2222
1159,1,167
1092,0,242
1073,6,191
879,1,208
830,3,88
771,1,105
492,0,81
486,2,66
466,1,66
405,1,80
337,2,44
331,7,30
299,1,48
261,0,39
218,2,41
213,0,30
210,1,24
149,0,19
138,3,19
135,0,0
119,0,25
